"";"ID de l'entité";"Code INSEE";"Type d'entité";"Nom de l'entité";"Editeur de la source";"Commune";"Adresse";"Code Postal";"Coordonnées";"Email";"URL";"Notes";"EPCI";"Département";"Région";"Code Officiel Région";"Nom Officiel Région";"Code Officiel Commune / Arrondissement Municipal";"Nom Officiel Commune / Arrondissement Municipal";"Population municipale";"Population comptée à part";"Population totale";"Code Officiel Département";"Code Officiel Arrondissement Départemental";"Année de recensement";"Année d’entrée en vigueur";"Année de référence géographique";"Nom Officiel EPCI";"Code Officiel EPCI";"Nom Officiel Département";"Dernier Recensement";"Déclaration Obligatoire"
"10768";"mairie-01001-01";"01001";"Mairie";"Mairie - L'Abergement-Clémenciat";"La Direction de l'information légale et administrative (Premier ministre)";"L'Abergement-Clémenciat";"119 route de la Fontaine";"01400";"46.151676178, 4.92007112503";"mairieabergementclemenciat@gmail.com";"";"";"CC de la Dombes";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01001";"L'Abergement-Clémenciat";806;15;821;"01";2;2020;2023;2022;"CC de la Dombes";200069193;"Ain";2020;"No"
"21974";"mairie-01002-01";"01002";"Mairie";"Mairie - L'Abergement-de-Varey";"La Direction de l'information légale et administrative (Premier ministre)";"L'Abergement-de-Varey";"[""""Le Village"""", """"1 place de la Mairie""""]";"01640";"46.0070996, 5.4233574";"mairie@abergement-de-varey.fr";"https://abergement-de-varey.fr";"";"CC de la Plaine de l'Ain";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01002";"L'Abergement-de-Varey";262;6;268;"01";1;2020;2023;2022;"CC de la Plaine de l'Ain";240100883;"Ain";2020;"No"
"1496";"mairie-01004-01";"01004";"Mairie";"Mairie - Ambérieu-en-Bugey";"La Direction de l'information légale et administrative (Premier ministre)";"Ambérieu-en-Bugey Cedex";"[""""Place Robert-Marcelpoil"""", """"CS 70429""""]";"01504";"45.9578018188, 5.35882997513";"accueil@ville-amberieu.fr";"http://www.ville-amberieuenbugey.fr";"";"CC de la Plaine de l'Ain";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01004";"Ambérieu-en-Bugey";14288;374;14662;"01";1;2020;2023;2022;"CC de la Plaine de l'Ain";240100883;"Ain";2020;"Yes"
"20969";"mairie-01005-01";"01005";"Mairie";"Mairie - Ambérieux-en-Dombes";"La Direction de l'information légale et administrative (Premier ministre)";"Ambérieux-en-Dombes";"289 rue Gombette";"01330";"45.9957877, 4.9028423";"mairie@amberieux-en-dombes.fr";"http://www.amberieux-en-dombes.fr";"";"CC Dombes Saône Vallée";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01005";"Ambérieux-en-Dombes";1782;24;1806;"01";2;2020;2023;2022;"CC Dombes Saône Vallée";200042497;"Ain";2020;"No"
"35100";"mairie-01006-01";"01006";"Mairie";"Mairie - Ambléon";"La Direction de l'information légale et administrative (Premier ministre)";"Ambléon";"507 Grande rue";"01300";"45.7489053, 5.6011955";"commune-ambleon@wanadoo.fr";"";"";"CC Bugey Sud";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01006";"Ambléon";113;0;113;"01";1;2020;2023;2022;"CC Bugey Sud";200040350;"Ain";2020;"No"
"34072";"mairie-01007-01";"01007";"Mairie";"Mairie - Amberieu";"La Direction de l'information légale et administrative (Premier ministre)";"Ambronay";"1 grande rue";"01500";"46.00739, 5.36072";"accueil@ambronay.fr";"https://www.ambronay.fr";"";"CC de la Plaine de l'Ain";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01007";"Ambronay";2827;119;2946;"01";1;2020;2023;2022;"CC de la Plaine de l'Ain";240100883;"Ain";2020;"No"
"2200";"mairie-01008-01";"01008";"Mairie";"Mairie - Ambutrix";"La Direction de l'information légale et administrative (Premier ministre)";"Ambutrix";"8 impasse les Corrées";"01500";"45.9378943, 5.3376099";"mairie.ambutrix@wanadoo.fr";"http://www.ambutrix.fr";"";"CC de la Plaine de l'Ain";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01008";"Ambutrix";768;13;781;"01";1;2020;2023;2022;"CC de la Plaine de l'Ain";240100883;"Ain";2020;"No"
"24233";"mairie-01009-01";"01009";"Mairie";"Mairie - Andert-et-Condon";"La Direction de l'information légale et administrative (Premier ministre)";"Andert-et-Condon";"35 route du Châtelet";"01300";"45.7938, 5.65406";"mairie@andertetcondon.fr";"http://www.andertetcondon.fr";"";"CC Bugey Sud";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01009";"Andert-et-Condon";324;8;332;"01";1;2020;2023;2022;"CC Bugey Sud";200040350;"Ain";2020;"No"
"15485";"mairie-01010-01";"01010";"Mairie";"Mairie - Anglefort";"La Direction de l'information légale et administrative (Premier ministre)";"Anglefort";"230 rue de la Mairie";"01350";"45.9136009216, 5.80891990662";"mairie.anglefort@gmail.com";"http://www.anglefort.fr";"";"CC Usses et Rhône";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01010";"Anglefort";1101;15;1116;"01";1;2020;2023;2022;"CC Usses et Rhône";200070852;"Ain";2020;"No"
"25604";"mairie-01011-01";"01011";"Mairie";"Mairie - Apremont";"La Direction de l'information légale et administrative (Premier ministre)";"Apremont";"20 rue de la Fruitière";"01100";"46.20748, 5.658584";"mairie@apremont-ain.fr";"http://www.apremont-ain.fr";"";"CA Haut - Bugey Agglomération";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01011";"Apremont";368;11;379;"01";4;2020;2023;2022;"CA Haut - Bugey Agglomération";200042935;"Ain";2020;"No"
